,strike_price,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,expiry_date,m2m,trade_date,gross_pnl,expenses,interest,net_pnl
,14500,PE,2021-04-20 09:30:00,96.2,2021-04-20 10:05:00,115.85,Signal Change,2021-04-22,-1473.75,2021-04-20,-1473.75,17.9712375,32.87,-1524.5912375
,14450,CE,2021-04-20 10:05:00,101.5,2021-04-20 14:55:00,20.35,Target Hit,2021-04-22,6086.25,2021-04-20,6086.25,10.3267875,0,6075.9232125
,14250,CE,2021-04-20 15:00:00,83.2,2021-04-20 15:12:00,123.45,Max SL,2021-04-22,-3018.75,2021-04-20,-3018.75,17.5135875,0,-3036.2635875
,14300,CE,2021-04-20 15:15:00,91.4,2021-04-22 09:30:00,19.1,Signal Change,2021-04-22,5422.5,2021-04-22,5422.5,9.364875,32.87,5380.265125
,14200,PE,2021-04-22 09:30:00,53.85,2021-04-22 09:40:00,55.2,Signal Change,2021-04-22,-101.25,2021-04-22,-101.25,9.2419875,0,-110.4919875
,14250,CE,2021-04-22 09:40:00,36.6,2021-04-22 09:45:00,51.8,Signal Change,2021-04-22,-1140,2021-04-22,-1140,7.4919,0,-1147.4919
,14250,PE,2021-04-22 09:45:00,64.6,2021-04-22 10:05:00,71.2,Signal Change,2021-04-22,-495.000000000001,2021-04-22,-495.000000000001,11.50905,0,-506.509050000001
,14250,CE,2021-04-22 10:05:00,47.65,2021-04-22 10:15:00,51.9,Signal Change,2021-04-22,-318.75,2021-04-22,-318.75,8.4368625,0,-327.1868625
,14250,PE,2021-04-22 10:15:00,68.65,2021-04-22 15:15:00,0.2,EOD,2021-04-22,5133.75,2021-04-22,5133.75,5.8350375,0,5127.9149625
,14350,PE,2021-04-23 09:30:00,183,2021-04-23 10:05:00,164.9,Signal Change,2021-04-29,1357.5,2021-04-23,1357.5,29.484525,32.87,1295.145475
